"age_bin","full_model_rsq","minus_model_name","delta_rsq","delta_rsq_lower","delta_rsq_upper"
"4 to 5",0.182863200991499,"dist_pos",0.00132447179841742,3.53213663121213e-06,0.0159711768188073
"4 to 5",0.182863200991499,"dist_neg",0.0869421264686775,0.0419122965317362,0.144138705893393
"4 to 5",0.182863200991499,"dist_arousal",0.016060465204391,0.00114247947000211,0.0485215539939866
"4 to 5",0.182863200991499,"emotion_pair_same",0.000469793336597499,4.07591493645628e-06,0.0204573387003562
"6 to 7",0.571661606333122,"dist_pos",0.00229471112753793,1.00641275717312e-05,0.0123253941691135
"6 to 7",0.571661606333122,"dist_neg",0.273748509076592,0.204024515087133,0.34666418098998
"6 to 7",0.571661606333122,"dist_arousal",0.00120344299263737,3.44039559181541e-06,0.0103034539997418
"6 to 7",0.571661606333122,"emotion_pair_same",0.0119092233232173,0.000949861359790519,0.0352209621712013
"5 to 6",0.449182332701865,"dist_pos",0.0112464681886896,0.00173084906533,0.0298405974963532
"5 to 6",0.449182332701865,"dist_neg",0.264492071583753,0.197367647387728,0.33785548476947
"5 to 6",0.449182332701865,"dist_arousal",0.00272580038375651,1.0597277266294e-05,0.0149233578334904
"5 to 6",0.449182332701865,"emotion_pair_same",0.00315404714043016,9.27567607465218e-06,0.0197753669213443
"3 to 4",0.0222106727040092,"dist_pos",0.00331617566976209,7.78138877669019e-06,0.0255104373052825
"3 to 4",0.0222106727040092,"dist_neg",0.016135757857985,0.000380565709138431,0.0568343066272478
"3 to 4",0.0222106727040092,"dist_arousal",2.92331956525674e-07,3.72325341033034e-06,0.0164077810418032
"3 to 4",0.0222106727040092,"emotion_pair_same",0.000357013496290389,5.00524512673149e-06,0.025603035850979
"adults",0.796483639819391,"dist_pos",0.0472342415899494,0.0260244939507363,0.0740187011113383
"adults",0.796483639819391,"dist_neg",0.160075008527464,0.118930650924512,0.204894387939685
"adults",0.796483639819391,"dist_arousal",0.000199896874267613,8.38954257073142e-07,0.00381885972362543
"adults",0.796483639819391,"emotion_pair_same",0.0163645232638659,0.0048280834385329,0.0339027832023155
