"image","pos","neg","ESG_type","arousal","valence","val_type","sort","image_cat","mouth","actor_gender"
"M07ang_c",0.352941176470588,2.94117647058824,"pol_neg",4.23529411764706,2.13725490196078,"pol_neg","Sort1","ang","c","M"
"M07ang_o",0.470588235294118,2.70588235294118,"pol_neg",4.45098039215686,2.13725490196078,"pol_neg","Sort1","ang","o","M"
"M07calm_c",1.50980392156863,0.901960784313726,"indifferent",3.29411764705882,4.56862745098039,"indifferent","Sort1","calm","c","M"
"M07calm_o",1.82352941176471,0.647058823529412,"indifferent",3.94117647058824,5.03921568627451,"pol_pos","Sort1","calm","o","M"
"M07disg_c",0.176470588235294,3.15686274509804,"pol_neg",4.01960784313725,1.68627450980392,"pol_neg","Sort1","disg","c","M"
"M07disg_o",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M"
"M07exc_c",2.92156862745098,0.431372549019608,"pol_pos",5.45098039215686,6.13725490196078,"pol_pos","Sort1","exc","c","M"
"M07exc_o",1.3921568627451,1.05882352941176,"indifferent",4.74509803921569,4.31372549019608,"indifferent","Sort1","exc","o","M"
"M07fear_c",0.588235294117647,1.66666666666667,"indifferent",4.07843137254902,3.2156862745098,"indifferent","Sort1","fear","c","M"
"M07fear_o",0.431372549019608,1.84313725490196,"indifferent",4.03921568627451,2.88235294117647,"pol_neg","Sort1","fear","o","M"
"M07hap_c",2.33333333333333,0.764705882352941,"pol_pos",4.68627450980392,5.82352941176471,"pol_pos","Sort1","hap","c","M"
"M07hap_o",3.11764705882353,0.392156862745098,"pol_pos",5.45098039215686,6.49019607843137,"pol_pos","Sort1","hap","o","M"
"M07neut_c",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","Sort1","neut","c","M"
"M07neut_o",0.784313725490196,1.62745098039216,"indifferent",3.07843137254902,3.37254901960784,"indifferent","Sort1","neut","o","M"
"M07sad_c",0.235294117647059,2.64705882352941,"pol_neg",3.76470588235294,1.88235294117647,"pol_neg","Sort1","sad","c","M"
"M07sad_o",0.352941176470588,2.23529411764706,"pol_neg",3.68627450980392,2.54901960784314,"pol_neg","Sort1","sad","o","M"
"M07surp_c",1.3921568627451,0.980392156862745,"indifferent",4.33333333333333,4.41176470588235,"indifferent","Sort1","surp","c","M"
"M07surp_o",3.45098039215686,0.509803921568627,"pol_pos",6.27450980392157,6.76470588235294,"pol_pos","Sort1","surp","o","M"
"F01fear_c",1,1.52941176470588,"indifferent",3.66666666666667,3.50980392156863,"indifferent","Sort2","fear","c","F"
"F04ang_o",0.313725490196078,3.23529411764706,"pol_neg",4.70588235294118,1.58823529411765,"pol_neg","Sort2","ang","o","F"
"F07neut_c",1.23529411764706,1.23529411764706,"indifferent",2.72549019607843,3.94117647058824,"indifferent","Sort2","neut","c","F"
"F10disg_o",0.450980392156863,3.07843137254902,"pol_neg",4.66666666666667,1.58823529411765,"pol_neg","Sort2","disg","o","F"
"F13exc_o",2.94117647058824,0.470588235294118,"pol_pos",6.05882352941176,6.47058823529412,"pol_pos","Sort2","exc","o","F"
"F14surp_c",0.647058823529412,1.72549019607843,"indifferent",4.58823529411765,3.35294117647059,"indifferent","Sort2","surp","c","F"
"F15hap_c",2.37254901960784,0.372549019607843,"pol_pos",4.76470588235294,5.52941176470588,"pol_pos","Sort2","hap","c","F"
"F17calm_o",2,0.411764705882353,"pol_pos",4.29411764705882,5.29411764705882,"pol_pos","Sort2","calm","o","F"
"F22sad_c",0.490196078431373,1.76470588235294,"indifferent",3.58823529411765,2.82352941176471,"pol_neg","Sort2","sad","c","F"
"M02ang_c",0.490196078431373,2.25490196078431,"pol_neg",3.7843137254902,2.58823529411765,"pol_neg","Sort2","ang","c","M"
"M03calm_c",1.49019607843137,0.980392156862745,"indifferent",3.01960784313725,4.54901960784314,"indifferent","Sort2","calm","c","M"
"M04disg_c",0.333333333333333,2.94117647058824,"pol_neg",4.35294117647059,1.7843137254902,"pol_neg","Sort2","disg","c","M"
"M05exc_c",2.88235294117647,0.450980392156863,"pol_pos",5.19607843137255,5.98039215686275,"pol_pos","Sort2","exc","c","M"
"M08fear_o",0.686274509803922,1.86274509803922,"indifferent",4.33333333333333,2.98039215686275,"pol_neg","Sort2","fear","o","M"
"M12hap_o",2.29411764705882,0.607843137254902,"pol_pos",4.62745098039216,5.45098039215686,"pol_pos","Sort2","hap","o","M"
"M14neut_o",0.823529411764706,1.54901960784314,"indifferent",3.01960784313725,3.52941176470588,"indifferent","Sort2","neut","o","M"
"M15surp_o",1.19607843137255,1.56862745098039,"indifferent",4.90196078431373,3.23529411764706,"indifferent","Sort2","surp","o","M"
"M17sad_o",0.411764705882353,2.11764705882353,"pol_neg",3.68627450980392,2.72549019607843,"pol_neg","Sort2","sad","o","M"
