"image","pos","neg","ESG_type"
"F01fear_c",1,1.52941176470588,"indifferent"
"F04ang_o",0.313725490196078,3.23529411764706,"pol_neg"
"F07neut_c",1.23529411764706,1.23529411764706,"indifferent"
"F10disg_o",0.450980392156863,3.07843137254902,"pol_neg"
"F13exc_o",2.94117647058824,0.470588235294118,"pol_pos"
"F14surp_c",0.647058823529412,1.72549019607843,"indifferent"
"F15hap_c",2.37254901960784,0.372549019607843,"pol_pos"
"F17calm_o",2,0.411764705882353,"pol_pos"
"F22sad_c",0.490196078431373,1.76470588235294,"indifferent"
"M02ang_c",0.490196078431373,2.25490196078431,"pol_neg"
"M03calm_c",1.49019607843137,0.980392156862745,"indifferent"
"M04disg_c",0.333333333333333,2.94117647058824,"pol_neg"
"M05exc_c",2.88235294117647,0.450980392156863,"pol_pos"
"M08fear_o",0.686274509803922,1.86274509803922,"indifferent"
"M12hap_o",2.29411764705882,0.607843137254902,"pol_pos"
"M14neut_o",0.823529411764706,1.54901960784314,"indifferent"
"M15surp_o",1.19607843137255,1.56862745098039,"indifferent"
"M17sad_o",0.411764705882353,2.11764705882353,"pol_neg"
